asset_path	http_status	content_type	bytes	final_url
/manus-storage/nyc-cleaning-house-cleaning_953884fe.png	200	image/webp	223088	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-house-cleaning_953884fe.png?Expires=1783976295&Signature=cgUqQh~XK6j-FiJ8IKWa5GNiFouhZfZ3bcHhx8uMMiVFSFG7oCyMj67mUromM-PM4CmwBHmoh0iYt7oIBpx~w2S-Gose~c1k1vNMescxY5D7qpaLrLpVw5ZIK2MCFkCkwyzvNVvZaUH7wfp0mRubWlhqVxlYEReGwJ3wsNTMv9whKMBZzy35gv8YnCFD88bQ9rlwvuawt2zUxY0iUqboXfi0DorSBAurwZNzQ2zMGF5Poz15J-q8mxCjPvqXhYLOXOyLeOw7ZG~-Q39pRGN4pJsGozLNiJ5uXYaBFGh7FWjr-BUW4hy5~HGGuTADZ-sKV2bLQIk3XV4Sek2kPNyu3Q__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-property-maintenance_df5f9a39.png	200	image/webp	201262	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-property-maintenance_df5f9a39.png?Expires=1783976295&Signature=h~HIfElPQOKLCJLF0ZfMcjeviQJR3j~UWG6TBcWQstp6OS6o08GIiI7pSMkY-~SsmdVqNL4~BMQnCEGQe1Uw8qWrPo4B6sjRZKT3RROohv8zk2MEp0OivVvIINlqpl2h3SsSu00v4ZKhWZTOtMEw0PVJKsExIEF3uScsWXb4JGY9M8eiiwkdiRW2aRfbKyzGZngqkUAPsqd8oQ7NCLtB9LikUL9e30x2IIXJB8-Wv5YRv~3kd4duue~P4muRgb8Jo41EnlQGTtnVXetYUxoVzo9k4kLsEJkfkS9hrYtuy9Qu65noQOU09HZJoUp75Nt7VMS8tuR~~UWH-MorcCZztg__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-repair_294d81e2.png	200	image/webp	171886	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-repair_294d81e2.png?Expires=1783976295&Signature=ep2flBPGaEjavtQAD0mZkDN-5t43H7GievnDS25tlGbI0mZY1J7AQffIteMiYS4rmuQxNf7BrmZGVcxmJ9iWyGoBMTj3s5NM-OpWlR8JxUQ50XnLMV3UZMiM60pxOHOnmiP3mawFF9QTE1LcURHDueq4Iz4fyNUSelG9MNtWNWRIghy-BOY1J-pBFxtHKG9ofoyFBekcCqdy1oOMCG9CGYxS8-1KnOPOfWgarYTua0uVISQpQQNtwON6Q7CE7oyNUsI~yVGQrB4MmUwiHJDLTbX50f28dIsfQH~3L4VSxYr6QIjlr65i6wWXuB68TZOdu-zmO6it05qXEV7aU4NTBw__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-building-maintenance_73df1443.png	200	image/webp	240976	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-building-maintenance_73df1443.png?Expires=1783976295&Signature=Qc5zDQfZ-sp2umKSB-2ZoMqnxhTvPI9di-eZl48pFA1EbS4C3YhlK4dGQnUZi7ynFcNXzJBfx-AVp-6ti1lIWyipfpJhNTsoBaBVZk1evS8ih5NVxPYGC0LQX4FAFjjabhJn0ILyC2ppPHGSGQ7-dNC3UCw1ossAPCmtOcohQD8ZYbo47DrF0PUCKPcgrMHyrDlmJ3bpGwPepBOAZO-61r8YzGMw4zoHVcAFeN9JpxQYoYAXO-G7ByGWXziv~YzyHaoyGIFmG2W9fPpjVF5a16mBaKbdAvbFVjfq-unPGqWoxPjw1xtTD6BTX2~XMK2-jV2U5VdtQ9tVWIDD0Io3Cg__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-janitorial_69f63da6.png	200	image/webp	291568	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-janitorial_69f63da6.png?Expires=1783976295&Signature=rjHuCyJ2FFypwLn4QRM1P0DXdcu40fnMQ8XmSW4Z31zZt5Cp-5-Fz8O7mdmAHsSUMj6EIcZYusq0eoC5kXA6b-tOP2GcJgdwYSrZ1rkoAIOGOcGSB286w2SN06XILOwjtDy5odeknU2APKAWa4-CsESQpUg1sk4Feta6gQ6yZk2gsSPVgmqfxUv3FkDL-xQJK-UIXNkpYPaI4oLztZuiCU~DjfIcGoI0M~KrFOtHB5p2X2Q14ZGvTjWSslNtfcO4zxiAJchVYosDiyHjd51eWFQGUef2yM4fa-OdK2CuLyK8ywJhCWvMfWCG0ulRAULu-b5YL1y2iFU0VDgRj9Yi~A__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-maintenance-management_479417f7.png	200	image/webp	217000	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-maintenance-management_479417f7.png?Expires=1783976296&Signature=jUT9HC76MHJqPduG2JUgSItnxpJSUHPeQp~CC~rS78m4Fb5cHbp8D5xbpYZPec1GOlyNhhkhFMxUd4gO6LkP6l6O6vWXm1Py1~8Sd4jtxV0QXbGbcOjH33jIPBxOUXcEaEJF-kv3g4SE8i~qDUu7w9hhVXJI59IKq0htqq1rWJd8HWwPOAcs-zOW3RsqFCA0kKhBQThkOblsB2QzecPDYqoo8JWSHIbTwlnFSiPDTsEpglO-rAEyhbH7RV~rYHkzMKzuBzKZBCzNAQGzY2ZpmaiFxS6TxqqZqU75~jv1TM4xHbGXK6J574SCm7-jSTE6vuJ7VbNw-b6iCJYGZhLFOA__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-doorman_995a61c1.png	200	image/webp	161592	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-doorman_995a61c1.png?Expires=1783976296&Signature=pTxhs0J74KTdQJTfoWVqurcTmeK9GI4NaHvxqxsau1Wg0QX5DpLDPQ6wVYBwLQDtbUQY8AFgntaQNs2ZdphknH96511qQ43E~3mMR0zotbJBEQdGWP-5C-tmeq~IrmB-Uy-UmxtINBCeBwghcznKOS634lWkUuFTeuYad7sBnORxfQgNSMNyqGrh~08s6mPYOMV62UHTy9~rHQVA4~-tGEtrLSoO3nZEBGkscAAKEUiBhD1JnrKZhYUYJ0gYovuSSsCOfzjPNsXFH1Rksf8aZu6C6-Aqyj6Lh4Rx1uXzhqy4V6DSj5vhvPNwQ3zP~83GBKpXXedIq2INmMh-5iBwOQ__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-garbage-bin_59f984bc.png	200	image/webp	440012	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-garbage-bin_59f984bc.png?Expires=1783976296&Signature=n4WhoiYFnmN8AIqthS0QWQtafuu9byivt-2~8jf6YzYxKI3Qt8kDAw1FjUEFCT4~006nTtqyGt-Ie-FFzOykKfj-oDmLCUDa~s8pHdJLjv3zttBFrgje9~QHI1JrbB4MYRmmWYO86LioKc3nmvjC6k-5QIQMQz7Qdivbi8TT0rJ8xSEvWWMZPJfBPYBM72C~Hj2aX84O-dtAoDlVU5b8xrNGFPMm5YAIWe0s4pNbXTVpJUa44wMkKy4seXwSLrLU9QvKZy82xjVcSIPn0UY2QZyDb2~uXr3qPIkZi3nHznHTDsmQkQ-9W2IzZPH1NYDxicHiaqhpEUvfnTzZXKPDhg__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-office-cleaning_8a3bf05e.png	200	image/webp	190474	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-office-cleaning_8a3bf05e.png?Expires=1783976296&Signature=XCOXN-aUp9qTGMF~LJMSCW3F4AQEJyLij~TGd37vr6KEANUHjTZbOueVn8-YzwfFYXfKL9~mkC0yKGNPdrmcx0pR8wACXt4TzViPBOspYqTK6Q4MVI~nsBwTa2fMjjFZNl7bbBRwVHP7jG4llWX4zBAXIt0xTWTqNwT50QG8bB~fIUu8vhH7qMaqQI8v-oZn79GjJ6tR3y2e8m8U-xL8Ool3nadX0iQ4TZGNbmiSvI6fZdCwwY4PHP4iTGwTLulbpKV1dGMUH6G~z61sbKUXjF04ZDDC7nVN0hbmlXznNZo-WPexPeTKWK19HM9NOJLzx-jn6JM2fH5ThezXJ-~oJg__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-porter_78b087ee.png	200	image/webp	368426	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-porter_78b087ee.png?Expires=1783976296&Signature=inD2~r55carKi0vA~FE3bQMxeQw6eaG0DFXrbpHAjd1wyCNtJdMxkUdSJyC9FTjX65T9Dvf9ej1Am8nS-PczJRHaiHVr4~STgVLf9qjGXMizTIa2mrC2ENHGm6IviWm0vTcrqOJrvInbzzhYCw0~FLgyQXzVd51VqUGlg6T-mrY4vzMzFNRMrk2dZbpWwBH10IX40veTQKg0RkQ~fopChtqGe0gu~~dQQAQJ6Ik~XEy9-D8UUMXfctD4-u40u-4s6Z1OUKs~8h5BkbsbbkpxfImSoHNCiBk8KOI8dK1r1sQETmZhDaTT0ujBZAdEx~DCyhXFx0e7NQLsHip9w5uBjg__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-apartment-cleaning_914951b2.png	200	image/webp	199806	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-apartment-cleaning_914951b2.png?Expires=1783976297&Signature=CI6sWKvRCLU0I0R-I0ldG8ZEPC0v6~zn3DAEplXZw-ixZSVv1oEPlEftzlyFXjri8jACQce1El3IGob2G4cSrOHs6rj2fxFW1WksLIabsNvIXyRanB4P~ov3coSDPI7zwbUnGZtCLvEWrMvxYrEeszbc53nb3GTEED-o6Z78ih48j1IzcPCqGIQJrRcwUrBwFE4F5fJxnER69tDP9ihDl~3qwIusfOapj68RT8rVw-iPrzZV55mJvR7U9GOcGWa5Nxsb7y32pb8jdQjLMg5GDcE10w3GKXXQ3cDrj-Y1ecbBANBtQu8DXAFjQKjgfUWwgyeViGwWrJ8B8FzxzIhFPw__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-pricing_c347a4ca.png	200	image/webp	202318	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-pricing_c347a4ca.png?Expires=1783976297&Signature=IBZyOxlFjgOaQR4IJdsbPr~HDEJ2WoOpFrWeGqqANH4YmAyIkI-WU-Loj9kQV3UTO2i2TIPgEekafDEjO-DrnIj9yMFkDJTpLxdvmcwCtyJEsI8~q2q9yRw6GNlCLbB~elyuVIve9fvcro8UYT9tYP2N9LYYSqWBZhYsIE3nkn6LY6hq~UvTQWwiCbaiHeanRAKFYl5Sr0enkFz5Wp~m1rKFgehzNH5~Fqbsh309cy9N2FTh2I7RRZfgDVsTGKKXg37DEkuPeHRya0Ut-Gg5b3tsLS3nEOWCWxh-nCX~6OI6v8hxe5IgXda6FMMoRO~bGoerv5SrKWpTs4zZhHeeAw__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-property-cleaning_ab9074c3.png	200	image/webp	509468	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-property-cleaning_ab9074c3.png?Expires=1783976297&Signature=m7SZYyOD8zepMmwDYqTDS3uCGrny2U5IHvKkttwleDQgm8jLfDAFMlzug99V~AthNHW3Xxad73mLtq4qaqDGqYdzOs-Yd8t2WxRCmzld~mGm6Wd8OTQxaX2GtM2XXBicI3I88XociNtp7IDu~hKy-UWUSvlVuOavoaqeLKUQckm0f9P8Ml-fKk8jG9hT9bBmo4ZJdPSM-aaCfcI8GpGlanRiS1MRcSHOxkDyJJt1p3jqriGullFiMtcnClfFlHjphSHYW~DJOnc9YmozZEsDbk2rJWToLvgSWEIgM7KhIkBR0CdS51MVm9PVdWXBKZKKdk-YlJ38dxbmOPsBQdU49A__&Key-Pair-Id=K1MP89RTKNH4J
/manus-storage/nyc-cleaning-sweeping-trash_d79882a4.png	200	image/webp	361254	https://d36hbw14aib5lz.cloudfront.net/116064174/KtUvvJPJ6vWgXMx6ci5srm/nyc-cleaning-sweeping-trash_d79882a4.png?Expires=1783976297&Signature=RU3fecYVhR3kANOh7CMh0-~P0p1mgIuT~2Y7ajbfOO43VmHZH4ZbDU-uY9w0lvtpQHvFOYi4XZE5M5gz-n2mm8KUpIBeUlERFzQJV8zjBB0GpUvPtT89Xe3c-R7uzcOgkK6d65iruZpSZJqA~U875ZP4LVUVW9PkYU1kyoleQW9vfX4hT0YmKkDBuPcAXEgNc0sdLJtIv5RDcVt8~YhgU2L4vRxkuRZzQIee9bikvc20YNEpTRqhun03UCKEVn26JXzI1l~h9r2Uke1VAJm0-b33MKAHb8Hby1F6Fz-QlYCsIJZuT-NWaGjCoJBPZ8d5tO5LQW8x~EiCWLU~DOmRNw__&Key-Pair-Id=K1MP89RTKNH4J
